(Do Not Modify) Opportunity,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Account,Topic,Estimated signature date,Current BPF Status,Owner,Annual Margin,Total Service Amount,Primary Pillar,Are we shortlisted?,License SaaS ARR,Current BPF Advance Date,Pillar Must Win
c49348cc-4330-4652-84cf-8fef0a2b776d,VWa9mlTmMivGufw3cOwuiIQtSY/pmBzJRZr/oaCQSPj1K0nWdOOmQYeeOqeO3lzyURTYBCvA1bBDsUC4zFIzig==,19/1/2026 2:37,Access Group Australia,Access Group - Microsoft Fabric - Azure - PAL Link,27/2/2026,Solutioning,Karin Prinsloo,0.00,0.00,DA,,24000.00,24/10/2025 13:55,
c015448a-d43c-4ffc-afe8-a22f04b1e838,7EX+ry2HWdGp6tv8esn5dgmZcZkztzw0CMXDy/jy1ieBCtJVwGgqRAB0dmlO9MgZPx5rsDV4fp1/p+UjUeu3Rw==,14/11/2025 5:00,Everhard Industries,EI: NetSuite Health Check,27/2/2026,Qualification,Karen Linehan,0.00,10800.00,NetSuite,,0.00,14/11/2025 13:18,
5eaee3bc-f273-476a-a983-bb3e146745b0,khxs0jKt4CHg8pSB6BTm9euG51Nbi4MAfd5Hl8f63oN/34IswDtU673EzXV9ehNGPnTSrw2RgMn4ADFHLZZW7w==,23/1/2026 3:44,MotorOne Autobody Pty Ltd,MOA: NetSuite Services,27/2/2026,Solutioning,Karen Linehan,0.00,10000.00,NetSuite,,0.00,10/11/2025 7:34,
1d5906aa-a69b-45e6-acdf-bf94554decd1,js5OIxsrA0+ZmvsgzKoA6r154k+IvMmKj1Kh9VuNSA+XEZWyPzN7bglGfUtmcZYcQkVHLb5Od2V9u5AT9lltjQ==,15/12/2025 21:19,Dore Electrics,New NetSuite Dore Electrics,27/2/2026,Solutioning,Anthony Najafian,40000.00,250000.00,NetSuite,,80000.00,5/11/2025 15:53,
f466c613-cd4c-4f9c-952e-c901ff4e0661,rvJOVos09JItu9ShcLaZUKaECXjzi5a5C1UXuTdWOXj6TZA/j4+AJJ+VdrCvBkJsMGZrX+TmvuJEbm+w7LiVeQ==,20/10/2025 4:58,Gauvin Group (PRIVITY) (F5AU),Gauvin NetStock Licencing,27/2/2026,Solutioning,Karin Prinsloo,23544.00,0.00,NetSuite,,94176.00,19/5/2025 14:24,
0eea9463-f0e1-4f4f-876c-dbfed972507b,JuDJUxQZJXQhg3xtUXA/nhorf7DIDh7ICwDAGg2IP5eDS+9PHrdFTmzbtBS67+FgVxTdRQ3P65+OPrRDSQlb/w==,15/1/2026 5:01,DXN Solutions (F5AU),Workday Adaptive Planning,27/2/2026,Shortlist,Neville Ray,16400.00,62000.00,CPM,Yes,41000.00,15/1/2026 15:01,No
80ebbda0-4ee1-4561-ac90-14283d18bb44,3n3msmplNBC246Ozw6pE2TtTleMKOZAY51PuD98qppnUX6SIbuyRiz/d31jHsPPabsHgBuKfWFFEi1mfeBUmSw==,11/1/2026 22:25,Alita Sales,Bill Checker AI Agent + Training,28/2/2026,Contracting,Justin Petrovic,0.00,19500.00,CEC,,0.00,18/11/2025 8:31,
8edd8508-cc76-49ff-b913-1a2d35828b4a,QKhlgWGReUSvVlaumYzUrzRabOF7qh78qr2HTA1FG5bbKkE8yBo5PCoC8CTPI4I0SYqBgm43W+fAbqgzQ7zvzw==,19/1/2026 5:58,NUCRUSH GROUP,Nucrush: Zone Capture,28/2/2026,Solutioning,Karen Linehan,3168.72,0.00,NetSuite,,10562.40,15/1/2026 9:31,No
c8224b28-fea0-4ed4-8e87-1bc61ea4c309,FeTfITsW/tUolmGV5aSCloUY7vmIXRLvxfxcHBwtl6BSoY6+8ArUHfSu0qiEkbRHn8qf1I43SpbUA1J3Hs6fgg==,23/1/2026 3:11,Rider Levett Bucknall QLD Pty Ltd,RLB: WO - submission numbers and job numbers,28/2/2026,Solutioning,Karen Linehan,0.00,10000.00,NetSuite,,0.00,16/1/2026 7:56,No
7a696fd2-b4dc-45d2-9fb1-36520d5ce821,kryQRIMvRBI5VeKp7lND0+gHvgX9WlzI+CuAW06LIwZ0N1sZWGfexzDFKbghgLfGSBzCEeui42/GUTpWk/7wUw==,13/1/2026 23:58,Intex International,Intex: WO51365 Hubspot to NetSuite Integration Assistance - WO,28/2/2026,Solutioning,Karen Linehan,0.00,6516.00,NetSuite,,0.00,15/12/2025 9:43,No
